"","US1MISW0005","X20180101","PRCP","X0","X","X.1","N","X.2"
"21062","USC00311677",20180101,"TMAX",-33,"","","7",800
"116823","USC00311677",20180102,"TMAX",-28,"","","7",800
"213478","USC00311677",20180103,"TMAX",-6,"","","7",800
"310682","USC00311677",20180104,"TMAX",0,"","","7",800
"505407","USC00311677",20180106,"TMAX",-11,"","","7",800
"600882","USC00311677",20180107,"TMAX",-33,"","","7",800
"696488","USC00311677",20180108,"TMAX",-17,"","","7",800
"792988","USC00311677",20180109,"TMAX",78,"","","7",800
"888834","USC00311677",20180110,"TMAX",178,"","","7",800
"984928","USC00311677",20180111,"TMAX",161,"","","7",800
"1080722","USC00311677",20180112,"TMAX",183,"","","7",800
"1175966","USC00311677",20180113,"TMAX",211,"","","7",800
"1271000","USC00311677",20180114,"TMAX",83,"","","7",800
"1366948","USC00311677",20180115,"TMAX",6,"","","7",800
"1563208","USC00311677",20180117,"TMAX",89,"","","7",800
"1661479","USC00311677",20180118,"TMAX",22,"","","7",800
"1758961","USC00311677",20180119,"TMAX",22,"","","7",800
"1855315","USC00311677",20180120,"TMAX",122,"","","7",800
"1950501","USC00311677",20180121,"TMAX",139,"","","7",800
"2046606","USC00311677",20180122,"TMAX",194,"","","7",800
"2143257","USC00311677",20180123,"TMAX",167,"","","7",800
"2238770","USC00311677",20180124,"TMAX",206,"","","7",800
"2334692","USC00311677",20180125,"TMAX",122,"","","7",800
"2431567","USC00311677",20180126,"TMAX",94,"","","7",800
"2527444","USC00311677",20180127,"TMAX",139,"","","7",800
"2621423","USC00311677",20180128,"TMAX",189,"","","7",800
"2715210","USC00311677",20180129,"TMAX",150,"","","7",800
"2811532","USC00311677",20180130,"TMAX",100,"","","7",800
"2908473","USC00311677",20180131,"TMAX",39,"","","7",800
"3005287","USC00311677",20180201,"TMAX",83,"","","7",800
"3102699","USC00311677",20180202,"TMAX",156,"","","7",800
"3198787","USC00311677",20180203,"TMAX",61,"","","7",800
"3293732","USC00311677",20180204,"TMAX",56,"","","7",800
"3389697","USC00311677",20180205,"TMAX",117,"","","7",800
"3487256","USC00311677",20180206,"TMAX",83,"","","7",800
"3585229","USC00311677",20180207,"TMAX",150,"","","7",800
"3682391","USC00311677",20180208,"TMAX",167,"","","7",800
"3779100","USC00311677",20180209,"TMAX",100,"","","7",800
"3876427","USC00311677",20180210,"TMAX",139,"","","7",800
"3971717","USC00311677",20180211,"TMAX",194,"","","7",800
"4067129","USC00311677",20180212,"TMAX",217,"","","7",800
"4163179","USC00311677",20180213,"TMAX",183,"","","7",800
"4259059","USC00311677",20180214,"TMAX",50,"","","7",800
"4354777","USC00311677",20180215,"TMAX",144,"","","7",800
"4450198","USC00311677",20180216,"TMAX",239,"","","7",800
"4545415","USC00311677",20180217,"TMAX",272,"","","7",800
"4639263","USC00311677",20180218,"TMAX",78,"","","7",800
"4734378","USC00311677",20180219,"TMAX",161,"","","7",800
"4830646","USC00311677",20180220,"TMAX",100,"","","7",800
"4927023","USC00311677",20180221,"TMAX",233,"","","7",800
"5022284","USC00311677",20180222,"TMAX",244,"","","7",800
"5118348","USC00311677",20180223,"TMAX",256,"","","7",800
"5214866","USC00311677",20180224,"TMAX",206,"","","7",800
"5309158","USC00311677",20180225,"TMAX",261,"","","7",800
"5499279","USC00311677",20180227,"TMAX",167,"","","7",800
"5595367","USC00311677",20180228,"TMAX",161,"","","7",800
"5690612","USC00311677",20180301,"TMAX",144,"","","7",800
"5785713","USC00311677",20180302,"TMAX",133,"","","7",800
"5881276","USC00311677",20180303,"TMAX",122,"","","7",800
"5976446","USC00311677",20180304,"TMAX",139,"","","7",800
"6071798","USC00311677",20180305,"TMAX",133,"","","7",800
"6168184","USC00311677",20180306,"TMAX",128,"","","7",800
"6264198","USC00311677",20180307,"TMAX",56,"","","7",800
"6360198","USC00311677",20180308,"TMAX",111,"","","7",800
"6456157","USC00311677",20180309,"TMAX",78,"","","7",800
"6551317","USC00311677",20180310,"TMAX",106,"","","7",800
"6645063","USC00311677",20180311,"TMAX",117,"","","7",800
"6738581","USC00311677",20180312,"TMAX",72,"","","7",800
"6834013","USC00311677",20180313,"TMAX",22,"","","7",800
"6929929","USC00311677",20180314,"TMAX",89,"","","7",800
"7121607","USC00311677",20180316,"TMAX",194,"","","7",800
"7216627","USC00311677",20180317,"TMAX",200,"","","7",800
"7310010","USC00311677",20180318,"TMAX",211,"","","7",800
"7403647","USC00311677",20180319,"TMAX",167,"","","7",800
"7499506","USC00311677",20180320,"TMAX",183,"","","7",800
"7594764","USC00311677",20180321,"TMAX",133,"","","7",800
"7690548","USC00311677",20180322,"TMAX",61,"","","7",800
"7786278","USC00311677",20180323,"TMAX",117,"","","7",800
